Question_Id,Question_title,tags,Number of Answers
40348173,Can I calculate element-wise (dot) product using an np.matrix?,"['python', 'arrays', 'numpy', 'matrix', 'dot-product']",2
40348685,Issue replacing values in numpy array,"['python', 'numpy']",1
40348269,numpy delete list element from list of lists,"['python', 'arrays', 'list', 'python-3.x', 'numpy']",3
40339510,Tensorarray initialization,"['python', 'arrays', 'numpy', 'tensorflow']",1
30679339,Python OpenCV Error: Assertion failed (scn == 3 || scn == 4),"['python', 'opencv', 'numpy', 'object-detection']",2
40334424,Determine if legacy VTK file is valid using Python,"['python', 'numpy', 'vtk']",1
35203186,NumPy docstring for function type and None type,"['python', 'numpy', 'pycharm', 'docstring']",1
40348658,IndexError: too many indices for array - Total Energy Matrix Variational Method,"['python', 'arrays', 'numpy', 'multidimensional-array', 'physics']",2
40346697,Performance characteristics of theano.shared variables vs numpy.ndarray (GPU),"['python', 'numpy', 'deep-learning', 'theano-cuda']",0
40341769,np.choose not giving desired result after broadcasting,"['python', 'numpy', 'numpy-broadcasting']",2
40334228,How to use flag with scipy.optimize fsolve,"['python', 'numpy', 'scipy']",1
40345334,Linear algebra in Numpy,"['python', 'pandas', 'numpy']",2
40345461,Multiple indices for numpy array: IndexError: failed to coerce slice entry of type numpy.ndarray to integer,"['python', 'numpy', 'matrix-indexing', 'numpy-broadcasting']",1
40209612,Creating a |N| x |M| matrix from a hash-table,"['python', 'csv', 'numpy', 'matrix', 'hash']",2
40343633,How to use matplotlib to plot a function graph if I have 2 prepared np.arrays of points?,"['python', 'numpy', 'matplotlib']",2
40344951,Sort Numpy Array in Python,"['python', 'arrays', 'sorting', 'numpy']",2
40344324,numpy transformation 2d to 3d,"['python', 'arrays', 'numpy']",0
40209520,"daily data, resample every 3 days, calculate over trailing 5 days efficiently","['python', 'pandas', 'numpy']",6
40309448,Piecewise Affine Transform+warp output looks strange,"['python', 'python-2.7', 'numpy', 'affinetransform', 'skimage']",0
40341783,Finding the largest N integrals in a time series with Python,"['python', 'pandas', 'numpy', 'time-series']",1
40342767,Fitting GridSearchCV returns Unknown Label type,"['python', 'numpy', 'scikit-learn']",0
40342098,How to convert Python OpenCV Image Matrix into a List of 4x4 blocks,"['python', 'arrays', 'numpy']",2
40338152,numpy: detect consecutive 1 in an array,"['python', 'arrays', 'numpy']",4
40337135,Python : could not convert string to float error,"['python', 'string', 'numpy']",2
40331320,Sending numpy arrays via Socket,"['python', 'arrays', 'sockets', 'numpy', 'pickle']",2
40334179,Phase portrait of a nonlinear system numpy,"['python', 'numpy', 'scipy']",1
39121834,"Ball tracker using OpenCV, Python and Raspberry Pi 3 w/ camera module","['python', 'c++', 'opencv', 'numpy', 'computer-vision']",1
40338386,Calculating a 3D gradient with unevenly spaced points,"['python', 'numpy', 'scipy', 'numerical-methods', 'derivative']",2
40338597,Python: Syntax appears to be exponentiating an array? Help me interpret?,"['python', 'arrays', 'numpy', 'exponentiation']",3
40338639,Returned result is false with numpy conditions,"['python', 'numpy']",4
40306828,Make a total vector for three vectors in python,"['python', 'numpy']",1
40336100,different size of element in numpy array and list,"['python', 'arrays', 'list', 'numpy']",1
40337393,Python: Printing Pandas dataframe returns numpy.ndarray Attribute error,"['python', 'pandas', 'numpy', 'dataframe']",2
40336748,Pythonic way to draw a bounded rectangle,"['python', 'arrays', 'numpy', 'matplotlib']",1
40276388,vectorization of an integral in scipy,"['python', 'numpy', 'scipy', 'vectorization', 'integral']",0
14262654,Numpy: Get random set of rows from 2D array,"['python', 'numpy']",3
40335338,Finding a minimum value in each column of 8*720 array?,"['python', 'python-2.7', 'sorting', 'numpy']",2
40335161,How to fill numpy array of zeros with ones given indices/coordinates,"['python', 'numpy', 'scipy']",1
40334653,Module has no Attribute &quot;Arrange&quot;,"['python', 'numpy']",1
40333580,Parallelization in Python using Numpy and Joblib,"['python', 'matlab', 'numpy', 'parallel-processing', 'joblib']",0
40185248,Velocity from array of acceleration samples in Python,"['python', 'numpy', 'matplotlib', 'scipy']",3
40332794,Python Numpy can&#39;t convert Strings to Integers from CSV file,"['python', 'csv', 'numpy']",2
40313369,How do I use the avx flag when compiling Fortran code using f2py?,"['python', 'numpy', 'scipy', 'fortran', 'f2py']",1
40328555,OWNDATA flag unreliable in both directions for numpy arrays?,"['python', 'variables', 'numpy', 'memory']",1
25490641,check how many elements are equal in two numpy arrays python,"['python', 'arrays', 'numpy']",2
40329970,Misclassification error in perceptron,"['python', 'numpy', 'machine-learning', 'classification', 'perceptron']",1
40327327,Batch glimpse sensor with numpy,"['python', 'numpy', 'deep-learning']",1
40324664,SyntaxError: keyword can&#39;t be an expression with np.zeroes,"['python', 'python-2.7', 'numpy', 'whitelist']",1
22229012,Allocate intermediate multidimensional arrays in Cython without acquiring the GIL,"['python', 'numpy', 'parallel-processing', 'cython', 'thread-local-storage']",2
40330662,Vstack over an empty array,"['python', 'arrays', 'performance', 'numpy']",0
40329732,How to append element to each vector in a matrix - Python,"['python', 'numpy', 'matrix']",1
40331196,Memory usage doubled when passing matrix to shared object,"['python', 'numpy', 'shared-objects', 'f2py']",0
40307148,"After installing anaconda, python gives error &quot;no module named numpy&quot;","['python', 'numpy', 'package', 'pip', 'anaconda']",1
40329277,Can we crop the input activations to match the dimensions of output as mentioned in the ResNet Paper,"['python', 'numpy', 'tensorflow', 'torch', 'resnet']",0
40302193,SciPy Optimization algorithm,"['python', 'algorithm', 'numpy', 'optimization', 'scipy']",1
40318041,Compare elements in a numpy array 3 rows a time,"['python', 'arrays', 'numpy', 'compare']",1
40328751,Parse large dataset for regression using tensorflow,"['python', 'numpy', 'tensorflow']",0
40327922,Speeding up sliding windowed average calculations,"['python', 'arrays', 'performance', 'numpy', 'vectorization']",1
40327963,How to fill missing Timestamp values in padas data frame,"['python', 'pandas', 'numpy']",0
40328498,Numpy speed up nested loop with fancy indexing,"['python', 'arrays', 'algorithm', 'numpy']",0
28013200,reading middlebury &#39;flow&#39; files with python (bytes array &amp; numpy),"['python', 'c++', 'image', 'numpy', 'file-format']",1
40328107,Store the result of a function with loop in a variable,"['python', 'numpy']",1
40327136,Still can&#39;t import after install numpy in TensorFlow tutorial,"['python', 'numpy', 'tensorflow']",1
40328042,python: If loop returns wrong result,"['python', 'numpy', 'if-statement']",1
40223563,Error while importing Tensorflow,"['python', 'numpy', 'tensorflow', 'python-import']",3
40324398,Pass numpy complex to float2 CUDA C via cython,"['python', 'c', 'numpy', 'cuda']",0
40325747,Contour plot averaging inside bins,"['python', 'arrays', 'numpy']",0
40323596,Standard deviation of combinations of dices,"['python', 'algorithm', 'numpy', 'stdev']",2
40324966,Tensorflow Numpy do not run with Python2.7 and 3.5 both on ipython notebook,"['python', 'numpy', 'tensorflow', 'ipython-notebook', 'jupyter-notebook']",0
40324538,Numpy array of numpy arrays has 1D shape,"['python', 'arrays', 'numpy']",1
34142485,Difference between numpy dot() and Python 3.5+ matrix multiplication @,"['python', 'numpy', 'matrix-multiplication', 'python-3.5']",1
40322109,Multiply all values of multiple tuples within a list (python),"['python', 'list', 'numpy', 'multiplication']",1
30404756,How to pass OpenCV image to Tesseract in python?,"['python', 'opencv', 'numpy', 'tesseract']",1
40321717,python: count events by certain id,"['python', 'arrays', 'numpy']",1
40321146,"I can&#39;t open my Excel file on python, using pandas","['python', 'excel', 'pandas', 'numpy', 'import']",1
40319433,Numpy: find the euclidean distance between two 3-D arrays,"['python', 'numpy', 'matrix', 'vectorization', 'euclidean-distance']",2
40317989,out of memory while trying to read csv file into python,"['python', 'matlab', 'csv', 'numpy', 'out-of-memory']",2
8827338,Distance calculation on matrix using numpy,"['python', 'numpy', 'k-means']",2
1829340,pythonic way to aggregate arrays (numpy or not),"['python', 'arrays', 'numpy', 'aggregate']",6
40318942,MPI Collective Reduce and Allreduce with MPI.MINLOC in mpi4py not working,"['python', 'numpy', 'mpi', 'mpi4py']",1
40318121,Visualising 10 dimensional data with matplotlib,"['python', 'numpy', 'matplotlib', 'data-science']",1
27115917,Gauss(-Legendre) quadrature in python,"['python', 'numpy', 'integration', 'gaussian']",3
40290113,n tuples(or array) and specifying the value for each entry in the n tuple via Python,"['python', 'numpy']",3
40318013,numpy.mean on varying row size,"['python', 'numpy', 'mean']",1
40317326,"Given a list of arrays or 3 dimensional array, how do you find the maximum value?","['python', 'arrays', 'list', 'python-2.7', 'numpy']",1
40317096,How to force scipy to integrate using Adams?,"['python', 'numpy']",0
40316308,Vector Matrix product differences between sparse and dense matrix,"['python', 'numpy', 'scipy', 'sparse-matrix']",2
40316210,how to calculate Numpy.prod() that doesn&#39;t fit in 32bits,"['python', 'numpy']",1
40316072,"In python, how do I create an upper-diagonal table without the diagonal?","['python', 'numpy']",1
40274354,Pyinstaller .exe cannot find _tiffile module,"['python', 'numpy', 'tiff', 'pyinstaller']",0
15976697,"Difference between nonzero(a), where(a) and argwhere(a). When to use which?","['python', 'numpy']",2
38895528,Polygon as a numpy matrix mask,"['python', 'numpy', 'matplotlib']",0
40312628,Weight choice for sampling from a distribution to normal distribution,"['python', 'numpy']",0
40241410,Plotting points after imshow changing image size,"['python', 'numpy', 'matplotlib']",1
40306865,Converting a WinAPI screenshot to a OpenCV compatible form,"['python', 'opencv', 'numpy', 'winapi']",1
40306410,Retrieve location info of a 2D Gaussian array,"['python', 'numpy', 'gaussian', 'data-fitting']",1
28663856,How to count the occurrence of certain item in an ndarray in Python?,"['python', 'numpy', 'multidimensional-array', 'count']",15
40310351,Python Update a submatrix given the indexes by a 2d matrix,"['python', 'numpy', 'matrix']",1
40309789,Difference between nan and &#39;nan&#39; in Python,"['python', 'numpy', 'nan']",3
40307219,How to remove or mask values in a numpy array based on another array,"['python', 'arrays', 'numpy']",1
40289943,Converting a 3D List to a 3D NumPy array,"['python', 'list', 'python-3.x', 'numpy']",5
21844024,Weighted percentile using numpy,"['python', 'numpy', 'weighted', 'percentile']",9
40305885,complex math exercise on python,"['python', 'arrays', 'numpy']",1
40304606,Numpy: extract data and coordinates from 2-D arrays,"['python', 'arrays', 'numpy', 'matrix']",2
40292452,Overlap Integrals in Python - Storing Results in Array,"['python', 'arrays', 'numpy', 'physics', 'integral']",1
40305734,"Numpy, new array based on an array within an array","['python', 'numpy']",1
40305498,TensorFlow pass gradient unchaned,"['python', 'numpy', 'tensorflow']",1
5497216,Convert vtkPoints to numpy array?,"['python', 'numpy', 'vtk']",2
9449309,How to correctly install python-numpy in Ubuntu 11.10 Oneiric,"['python', 'ubuntu', 'numpy', 'scipy', 'python-2.7']",2
40268494,sklearn LassoLarsCV gives a null regression coefficient for all the predictor variables,"['python', 'numpy', 'scikit-learn']",0
39249639,python 3D numpy array time index,"['python', 'arrays', 'datetime', 'numpy', 'multidimensional-array']",2
40300622,Slicing a list in Python: is there something like -0?,"['python', 'arrays', 'numpy', 'list-comprehension']",2
40243118,Numpy: efficiently expand a matrix from submatrix,"['python', 'numpy', 'matrix', 'vectorization']",2
40291403,Numpy: find local co-ordinates within a submatrix,"['python', 'arrays', 'numpy', 'matrix']",1
40296516,Trying to print shortest path from P matrix,"['python', 'numpy', 'shortest-path', 'floyd-warshall']",1
40297109,Create n x n cell of vectors in python,"['python', 'matlab', 'numpy']",1
40295287,Convert python ndarray to matlab matrix,"['python', 'matlab', 'python-2.7', 'numpy']",2
40295667,Interpolation of datetimes for smooth matplotlib plot in python,"['python', 'datetime', 'numpy', 'matplotlib', 'scipy']",2
2448015,2d convolution using python and numpy,"['python', 'numpy', 'convolution']",4
13354295,Python numpy masked array initialization,"['python', 'arrays', 'numpy', 'initialization']",2
40294305,matplotlib best practice chart with markers,"['python', 'numpy', 'matplotlib']",0
40274268,"Given two timestamps, how do I return the delta in terms of &quot;business minutes&quot;","['python', 'pandas', 'numpy']",2
40293571,hatch more than one data serie in a histogram,"['python', 'numpy', 'matplotlib']",1
40293531,Basemap to 2d numpy array,"['python', 'python-2.7', 'numpy', 'matplotlib', 'matplotlib-basemap']",0
40291420,Python: passing memmap array through function?,"['python', 'numpy', 'numpy-memmap']",1
25328818,python 2.7: cannot pip on windows &quot;bash: pip: command not found&quot;,"['python', 'bash', 'numpy', 'matplotlib', 'python-dateutil']",6
40287113,Fastest way to calculate many regressions in python?,"['python', 'python-3.x', 'numpy', 'linear-regression']",1
40290688,How can I fuzzy add a year to a date in numpy?,"['python', 'numpy']",2
40291748,Convert grayscale image to color OpenCV python,"['python', 'opencv', 'numpy']",0
40230795,greycomatrix in python including NaN&#39;s,"['python', 'numpy', 'image-processing']",1
40290348,Index matching with multiple columns in python,"['python', 'pandas', 'numpy', 'dataframe', 'merge']",2
40288998,Trouble importing Scipy : ImportError: No module named &#39;NUMPY_MKL&#39;,"['python', 'numpy', 'scipy']",0
40153971,"How can I partially read 2d satellite file in Python? (binary, fromfile)","['python', 'arrays', 'numpy', 'binary', 'fromfile']",2
40287911,Split array s.t sub-arrays sum to original,"['python', 'arrays', 'algorithm', 'numpy']",1
40286180,Conditional statements in a loop,"['python', 'loops', 'pandas', 'numpy', 'if-statement']",2
40261135,Find if a sorted array of floats contains numbers in a certain range efficiently,"['python', 'arrays', 'numpy']",1
40285296,Modifying/Overwriting NumPy Array,"['python', 'arrays', 'numpy']",2
12961279,Numpy standard deviation under a mask,"['python', 'numpy']",2
40286849,Python/Opencv Float converting to incorrect Int when casted,"['python', 'opencv', 'numpy', 'floating-accuracy']",2
40286593,Unusually large value for statistic in wilcoxon test in scipy,"['python', 'numpy', 'statistics']",0
40285337,Changing the axis scale in numpy plot,"['python', 'arrays', 'numpy', 'plot']",2
40284296,python: split matrix in hermitian and anti-hermitian part,"['python', 'numpy', 'matrix']",1
40246152,Cython Gibbs sampler slightly slower than numpy one,"['python', 'numpy', 'cython']",3
7089379,"Most efficient way to sum huge 2D NumPy array, grouped by ID column?","['python', 'numpy']",6
40280265,Python pandas: flatten with arrays in column,"['python', 'arrays', 'performance', 'pandas', 'numpy']",2
40274322,Importing packages on Anaconda on Windows won&#39;t work if PYTHONPATH is set,"['python', 'numpy', 'anaconda', 'caffe', 'pycaffe']",0
40281646,Replace value with two arrays numpy,"['python', 'arrays', 'numpy']",1
40281134,Can you use masks with meshgrid?,"['python', 'numpy', 'mask']",0
40279903,What am I doing wrong in this Dopri5 implementation,"['python', 'numpy', 'ode']",1
40279536,Python from matrix to 1-D array,"['python', 'arrays', 'python-2.7', 'numpy', 'matrix']",2
40279398,broadcast / extend boolean array along axis in python,"['python', 'numpy', 'logical-operators', 'numpy-broadcasting']",1
40275876,How to reshape this image array in python?,"['python', 'python-3.x', 'numpy']",4
40277861,"Solve L1 regression using scipy.linprog get ValueError: could not broadcast input array from shape (20,1) into shape (20)","['python', 'numpy', 'scipy', 'linear-programming']",1
40277605,Python3 numpy import error on cygwin 2.6.0,"['python', 'python-3.x', 'numpy', 'cygwin', 'windows-10']",0
40276942,Sub-array division with overlap,"['python', 'arrays', 'numpy', 'slice']",1
40258466,How to use out parameter in numpy.argmin to retrieve minimum indices?,"['python', 'numpy', 'scipy']",2
40270535,Convert a dict to numpy multi-dimensional array,"['python', 'arrays', 'numpy', 'dictionary']",3
11114225,Installing SciPy and NumPy using pip,"['python', 'numpy', 'scipy', 'pip', 'apt']",6
1517129,How do I install SciPy on 64 bit Windows?,"['python', 'windows', '64bit', 'numpy', 'scipy']",12
17777482,How to remove every other element of an array in python? (The inverse of np.repeat()?),"['python', 'arrays', 'numpy']",2
40275144,Upgrading numpy version,"['python', 'python-2.7', 'numpy']",1
40262732,"working with multindexes in pandas, finding the 3 maximum for each subindex and outputting the data","['python', 'pandas', 'numpy']",1
40274377,"In python, how do I append/add, using a loop, a row to a numpy array without deleting the previous row?","['python', 'python-2.7', 'numpy']",3
40266943,What is the python/numpy equivalent of num2cell()?,"['python', 'arrays', 'matlab', 'numpy']",5
40273251,Pandas groupby with pct_change,"['python', 'pandas', 'numpy']",1
40093776,CSV &gt;&gt; Tensorflow &gt;&gt; regression (via neural network) model,"['python', 'csv', 'numpy', 'tensorflow', 'recurrent-neural-network']",1
40271858,Looping math over arrays,"['python', 'arrays', 'loops', 'numpy', 'for-loop']",2
40272874,Plot chart before script end,"['python', 'numpy', 'matplotlib', 'spyder']",0
40156494,Computing the correct effective interest rate with monthly fees,"['python', 'python-2.7', 'numpy', 'finance']",1
40272222,Select xarray/pandas index based on specific months,"['python', 'pandas', 'numpy', 'python-xarray']",1
40271848,Why aren&#39;t the numpy matrices equal?,"['python', 'numpy']",1
29067406,How to read a super huge file into numpy array N lines at a time,"['python', 'arrays', 'numpy']",4
40268410,Multipolyfit (Python): What order are the coefficients in?,"['python', 'numpy']",1
40269126,Splitting strings in an array in python,"['python', 'numpy', 'split']",1
40266299,"NumPy: Finding minimum in submatrices/blocks and corresponding row, column indices","['python', 'numpy', 'matrix']",2
40261938,How to add a list as an element of a numpy n-D Matrix,"['python', 'list', 'numpy', 'matrix', 'append']",2
40249429,Get information about a numpy dtype,"['python', 'numpy']",2
23593295,PSD of signal in numpy and how to scale it,"['python', 'numpy', 'scale', 'signal-processing', 'fft']",2
40267131,how to multiply 2 numpy array with different dimensions,"['python', 'arrays', 'numpy', 'matrix']",4
4114461,Does NumPy have an inverse of unravel_index()?,"['python', 'numpy']",4
40265514,something errors when iI use Numpy,"['python', 'numpy']",0
40265960,curve_fit() using python,"['python', 'numpy']",1
40265031,Replace the diagonal elements of a matrix with sum of other elements in the row in Python,"['python', 'numpy', 'matrix', 'diagonal']",1
40218486,"&#39;float64&#39; can work, but &#39;float32&#39; cannot","['python', 'numpy', 'machine-learning', 'theano']",0
40262164,numpy.unique throwing error,"['python', 'numpy', 'runtime-error']",2
40244421,density plot and scipy gaussian kernel,"['python', 'numpy', 'scipy', 'kernel', 'kernel-density']",0
40261868,Pearson Correlation after Normalization,"['python', 'pandas', 'numpy', 'scikit-learn', 'pearson']",1
40247815,How do I build numpy for unicode ucs4,"['python', 'numpy', 'cross-compiling', 'yocto']",1
40261325,Fill matrix diagonal with different values for each python numpy,"['python', 'numpy']",1
40261339,SciPy pdist diagonal is zero with custom metric function,"['python', 'numpy', 'scipy']",0
40259685,Get rows of a first array matching rows of a second one,"['python', 'numpy', 'vectorization']",1
40256876,fill_between of pandas Dataframe (values) by column,"['python', 'numpy']",0
17053671,Python: How do you stop numpy from multithreading?,"['python', 'multithreading', 'numpy']",4
40252139,How to concatenate these two numpy arrays?,"['python', 'arrays', 'python-3.x', 'numpy']",3
6855710,How to have logarithmic bins in a Python histogram,"['python', 'numpy', 'matplotlib', 'histogram']",3
34170618,"Normal equation and Numpy &#39;least-squares&#39;, &#39;solve&#39; methods difference in regression?","['python', 'numpy', 'machine-learning', 'linear-algebra', 'linear-regression']",4
40252765,Overriding other __rmul__ with your class&#39;s __mul__,"['python', 'numpy']",0
40231094,Generate N positive integers within a range adding up to a total in python,"['python', 'python-2.7', 'numpy', 'random', 'range']",3
40250501,Convert a numpy array of lists to a numpy array,"['python', 'arrays', 'numpy', 'type-conversion']",2
15569429,Numpy gcd function,"['python', 'numpy', 'greatest-common-divisor']",3
40246130,get dataframe slice with list of column names where not all columns are in dataframe,"['python', 'pandas', 'numpy']",3
18915378,Rounding to significant figures in numpy,"['python', 'numpy']",4
40245115,assigning different data types for different columns in a numpy array,"['python', 'arrays', 'csv', 'numpy']",3
40249294,How can I interpret a float32 as four uint8s in numpy?,"['python', 'numpy', 'bitwise-operators']",1
40249373,PDF Distributions in Python with Scipy,"['python', 'numpy', 'scipy']",0
40249262,Difficulty Setting Up Numpy for Python 2.7 on Mac OSX,"['python', 'osx', 'python-2.7', 'numpy']",1
40247760,scipy convolve2d outputs wrong values,"['python', 'debugging', 'numpy', 'scipy', 'convolution']",2
40235453,Python: unable to convert string into number,"['python', 'pandas', 'numpy']",2
40190402,python - pass 3d array to C code,"['python', 'c', 'numpy', 'ctypes']",1
34130951,&quot;No space left on device&quot; when installing Numpy on an Azure Web Role,"['python', 'azure', 'numpy', 'pip', 'azure-web-roles']",2
40247125,Optimizing bicubic equation solver with numpy,"['python', 'performance', 'numpy', 'matrix', 'vectorization']",1
40246536,Autoencoder - cost decreases but wrong output when more than one data example,"['python', 'numpy', 'machine-learning', 'artificial-intelligence', 'autoencoder']",0
40228020,assigning to a wrapped slice of a numpy array,"['python', 'numpy', 'indexing']",3
40244911,Python Numpy: Performing different column operations over every N rows,"['python', 'arrays', 'numpy']",2
40245277,Visualize feature selection in descending order with SelectKBest,"['python', 'python-2.7', 'numpy', 'matplotlib', 'scikit-learn']",1
36009907,Numpy reshape 1d to 2d array with 1 column,"['python', 'arrays', 'python-2.7', 'numpy']",3
40244869,Change string to integer in all lists inside a list using Python,"['python', 'python-2.7', 'numpy']",5
40241561,Multipolyfit IndexError: tuple index out of range,"['python', 'python-2.7', 'numpy']",1
40243481,compare two pandas data frame,"['python', 'pandas', 'numpy']",2
40241047,Matrix vector product of panel and dataframe without loop,"['python', 'pandas', 'numpy']",0
38410631,"Given a byte buffer, dtype, shape and strides, how to create Numpy ndarray","['python', 'arrays', 'numpy', 'multidimensional-array', 'buffer']",3
32791911,Fast calculation of Pareto front in Python,"['python', 'numpy']",2
40234982,Integer optimization/maximization in numpy,"['python', 'numpy', 'mathematical-optimization']",2
36383107,How to evaluate the sum of values within array blocks,"['python', 'numpy']",3
4923617,Efficient Numpy 2D array construction from 1D array,"['python', 'numpy']",7
40217325,How to get pandas dataframe where columns are the subsequent n-elements from another column dataframe?,"['python', 'pandas', 'numpy', 'dataframe', 'scikit-learn']",2
40239328,How to access an item from S3 using boto3 and read() its contents,"['python', 'numpy', 'amazon-s3', 'boto3']",1
40234839,Numpy: rotate sub matrix m of M,"['python', 'numpy', 'matrix']",1
40233697,Speed up double for loop in numpy,"['python', 'performance', 'numpy', 'parallel-processing', 'vectorization']",1
40235339,Store integer and float in numpy array in matrix form,"['python', 'arrays', 'numpy', 'matrix']",1
40232855,Numpy: efficiently sum sub matrix m of M,"['python', 'numpy', 'matrix']",1
40233664,Cython actually slowing me down,"['python', 'numpy', 'cython']",0
40212954,Calculate the value of a function for each row in a matrix without iteration through all rows,"['python', 'numpy', 'matrix', 'regression']",0
40234158,Arrange list to numpy array in matrix form,"['python', 'arrays', 'numpy']",1
40167963,make_node requires 4D tensor of kernels,"['python', 'numpy', 'theano', 'keras']",1
40233712,Python FFTN slow in comparison to MATLAB,"['python', 'matlab', 'performance', 'numpy']",0
40097693,TensorFlow estimator.predict: Saving when as_iterable=True,"['python', 'numpy', 'tensorflow']",1
40231502,definition of each section of the scipy linear programming function,"['python', 'numpy', 'scipy', 'linear-programming']",0
40231725,How to generate features of data in my case so that I can use some tools like LinearRegression to predict?,"['python', 'numpy', 'scikit-learn', 'regression', 'data-mining']",1
40231128,add a dummy dimension for a multi-dimensional array,"['python', 'numpy', 'scipy']",5
40230064,"Attempt to open h5py file, returns errorno = 17, error message = &#39;file exists&#39;","['python', 'numpy', 'h5py']",1
40229147,Why do Mathematica and Python&#39;s answers differ when dealing with singular matrix equations?,"['python', 'matlab', 'numpy', 'matrix', 'linear-algebra']",1
40223433,complex merge pandas numpy with Aggregation,"['python', 'pandas', 'numpy']",1
40227806,Why are the return types of the numpy sum and mean function behaving differently when fed with a masked array?,"['python', 'arrays', 'numpy', 'masked-array']",1
40228453,Delete row and column in symmetric array if all the values in a row (or column) do not satisfy a given contion,"['python', 'arrays', 'numpy']",1
40225098,Obtain box2d from superpixels segments,"['python', 'opencv', 'numpy', 'scipy']",1
40227110,"I have a single dimention distribution which has two peaks, and a minima. How can I find the value of the minima in Python?","['python', 'python-2.7', 'numpy', 'machine-learning', 'data-analysis']",0
40226357,Second Derivative in Python - scipy/numpy/pandas,"['python', 'arrays', 'numpy', 'scipy']",2
40208054,log2 axis doesn&#39;t work for histograms in matplotlib/seaborn,"['python', 'pandas', 'numpy', 'matplotlib', 'seaborn']",1
